id,name,city_baidu_id,420100_moveIn_mean,420100_moveIn_mean_before,420100_moveIn_mean_after,420100_moveIn_max,420100_moveIn_max_before,420100_moveIn_max_after,420100_moveIn_min,420100_moveIn_min_before,420100_moveIn_min_after
211200,铁岭市,211200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211300,朝阳市,211300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211400,葫芦岛市,211400,0.004666666666666667,0.0,0.005833333333333334,0.1,0.0,0.1,0.0,0.0,0.0
220100,长春市,220100,0.017777777777777785,0.0,0.02222222222222223,0.08,0.0,0.08,0.0,0.0,0.0
220200,吉林市,220200,0.002444444444444445,0.0,0.003055555555555556,0.03,0.0,0.03,0.0,0.0,0.0
220300,四平市,220300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220400,辽源市,220400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220500,通化市,220500,0.0008888888888888889,0.0,0.0011111111111111111,0.02,0.0,0.02,0.0,0.0,0.0
220600,白山市,220600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220700,松原市,220700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220800,白城市,220800,0.0008888888888888889,0.0,0.0011111111111111111,0.02,0.0,0.02,0.0,0.0,0.0
222400,延边朝鲜族自治州,222400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230100,哈尔滨市,230100,0.03866666666666668,0.13333333333333336,0.015000000000000005,0.19,0.19,0.05,0.0,0.08,0.0
230200,齐齐哈尔市,230200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230300,鸡西市,230300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230400,鹤岗市,230400,0.00044444444444444447,0.0,0.0005555555555555556,0.02,0.0,0.02,0.0,0.0,0.0
230500,双鸭山市,230500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230600,大庆市,230600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230700,伊春市,230700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230800,佳木斯市,230800,0.0008888888888888889,0.0,0.0011111111111111111,0.04,0.0,0.04,0.0,0.0,0.0
230900,七台河市,230900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231000,牡丹江市,231000,0.0008888888888888889,0.0,0.0011111111111111111,0.03,0.0,0.03,0.0,0.0,0.0
231100,黑河市,231100,0.0011111111111111111,0.0,0.001388888888888889,0.03,0.0,0.03,0.0,0.0,0.0
231200,绥化市,231200,0.00044444444444444447,0.0,0.0005555555555555556,0.02,0.0,0.02,0.0,0.0,0.0
232700,大兴安岭地区,232700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310000,上海市,310000,0.2551111111111111,0.48444444444444446,0.19777777777777777,0.8,0.8,0.54,0.06,0.28,0.06
320100,南京市,320100,0.14288888888888884,0.1922222222222222,0.13055555555555556,0.34,0.32,0.34,0.02,0.11,0.02
320200,无锡市,320200,0.02933333333333335,0.03666666666666667,0.027500000000000007,0.14,0.14,0.09,0.0,0.0,0.0
320300,徐州市,320300,0.051999999999999984,0.18000000000000002,0.020000000000000004,0.39,0.39,0.17,0.0,0.11,0.0
320400,常州市,320400,0.020888888888888894,0.0,0.026111111111111116,0.12,0.0,0.12,0.0,0.0,0.0
320500,苏州市,320500,0.11088888888888887,0.15777777777777777,0.09916666666666665,0.29,0.23,0.29,0.02,0.09,0.02
320600,南通市,320600,0.038000000000000006,0.11666666666666664,0.018333333333333337,0.16,0.16,0.06,0.0,0.08,0.0
320700,连云港市,320700,0.006222222222222222,0.0,0.007777777777777777,0.05,0.0,0.05,0.0,0.0,0.0
320800,淮安市,320800,0.010444444444444444,0.0,0.013055555555555555,0.08,0.0,0.08,0.0,0.0,0.0
320900,盐城市,320900,0.05533333333333334,0.03666666666666667,0.05999999999999999,0.19,0.09,0.19,0.0,0.0,0.0
321000,扬州市,321000,0.02133333333333334,0.03777777777777778,0.017222222222222222,0.11,0.11,0.09,0.0,0.0,0.0
321100,镇江市,321100,0.016888888888888898,0.0,0.021111111111111122,0.11,0.0,0.11,0.0,0.0,0.0
321200,泰州市,321200,0.020888888888888894,0.07666666666666666,0.006944444444444444,0.11,0.11,0.05,0.0,0.0,0.0
321300,宿迁市,321300,0.002666666666666667,0.0,0.0033333333333333335,0.03,0.0,0.03,0.0,0.0,0.0
330100,杭州市,330100,0.09111111111111106,0.19555555555555557,0.06500000000000002,0.28,0.28,0.26,0.0,0.11,0.0
330200,宁波市,330200,0.02800000000000001,0.011111111111111112,0.032222222222222235,0.1,0.1,0.1,0.0,0.0,0.0
330300,温州市,330300,0.06799999999999996,0.2211111111111111,0.029722222222222237,0.28,0.28,0.14,0.0,0.16,0.0
330400,嘉兴市,330400,0.007555555555555555,0.0,0.009444444444444443,0.04,0.0,0.04,0.0,0.0,0.0
330500,湖州市,330500,0.005999999999999999,0.0,0.007499999999999999,0.05,0.0,0.05,0.0,0.0,0.0
330600,绍兴市,330600,0.02155555555555556,0.012222222222222223,0.02388888888888889,0.11,0.11,0.11,0.0,0.0,0.0
330700,金华市,330700,0.02111111111111112,0.05444444444444445,0.012777777777777779,0.11,0.11,0.09,0.0,0.0,0.0
330800,衢州市,330800,0.005777777777777778,0.0,0.007222222222222223,0.05,0.0,0.05,0.0,0.0,0.0
330900,舟山市,330900,0.004,0.0,0.005,0.07,0.0,0.07,0.0,0.0,0.0
331000,台州市,331000,0.050666666666666665,0.12333333333333332,0.0325,0.52,0.19,0.52,0.0,0.08,0.0
331100,丽水市,331100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340100,合肥市,340100,0.1602222222222222,0.2911111111111111,0.12750000000000003,0.47,0.47,0.26,0.03,0.17,0.03
