city_baidu_id,name,province_id,420100_moveIn_mean,420100_moveIn_mean_before,420100_moveIn_mean_after,420100_moveIn_max,420100_moveIn_max_before,420100_moveIn_max_after,420100_moveIn_min,420100_moveIn_min_before,420100_moveIn_min_after
211100,盘锦市,210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211200,铁岭市,210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211300,朝阳市,210000,0.00043956043956043956,0.0,0.0006153846153846154,0.02,0.0,0.02,0.0,0.0,0.0
211400,葫芦岛市,210000,0.004945054945054945,0.0,0.006923076923076923,0.1,0.0,0.1,0.0,0.0,0.0
220100,长春市,220000,0.019560439560439572,0.022692307692307696,0.018307692307692316,0.12,0.12,0.08,0.0,0.0,0.0
220200,吉林市,220000,0.0015384615384615387,0.0,0.002153846153846154,0.03,0.0,0.03,0.0,0.0,0.0
220300,四平市,220000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220400,辽源市,220000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220500,通化市,220000,0.00043956043956043956,0.0,0.0006153846153846154,0.02,0.0,0.02,0.0,0.0,0.0
220600,白山市,220000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220700,松原市,220000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220800,白城市,220000,0.00043956043956043956,0.0,0.0006153846153846154,0.02,0.0,0.02,0.0,0.0,0.0
222400,延边朝鲜族自治州,220000,0.045384615384615384,0.0,0.06353846153846154,1.38,0.0,1.38,0.0,0.0,0.0
230100,哈尔滨市,230000,0.07549450549450548,0.1588461538461539,0.04215384615384616,0.51,0.22,0.51,0.0,0.0,0.0
230200,齐齐哈尔市,230000,0.004285714285714286,0.0,0.006,0.24,0.0,0.24,0.0,0.0,0.0
230300,鸡西市,230000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230400,鹤岗市,230000,0.00021978021978021978,0.0,0.0003076923076923077,0.02,0.0,0.02,0.0,0.0,0.0
230500,双鸭山市,230000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230600,大庆市,230000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230700,伊春市,230000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230800,佳木斯市,230000,0.004175824175824176,0.0,0.005846153846153846,0.19,0.0,0.19,0.0,0.0,0.0
230900,七台河市,230000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231000,牡丹江市,230000,0.0006593406593406593,0.0,0.0009230769230769231,0.03,0.0,0.03,0.0,0.0,0.0
231100,黑河市,230000,0.0005494505494505495,0.0,0.0007692307692307692,0.03,0.0,0.03,0.0,0.0,0.0
231200,绥化市,230000,0.0005494505494505495,0.0,0.0007692307692307692,0.03,0.0,0.03,0.0,0.0,0.0
232700,大兴安岭地区,230000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310000,上海市,310000,0.46835164835164855,0.8911538461538462,0.29923076923076924,1.59,1.59,1.13,0.06,0.28,0.06
320100,南京市,320000,0.2389010989010989,0.37346153846153857,0.18507692307692306,0.65,0.62,0.65,0.02,0.11,0.02
320200,无锡市,320000,0.07560439560439558,0.12923076923076923,0.05415384615384617,0.25,0.24,0.25,0.0,0.0,0.0
320300,徐州市,320000,0.06802197802197801,0.1607692307692308,0.030923076923076928,0.51,0.39,0.51,0.0,0.11,0.0
320400,常州市,320000,0.039560439560439545,0.062307692307692314,0.03046153846153847,0.23,0.15,0.23,0.0,0.0,0.0
320500,苏州市,320000,0.1773626373626373,0.2700000000000001,0.1403076923076923,0.49,0.47,0.49,0.02,0.09,0.02
320600,南通市,320000,0.05505494505494505,0.12615384615384614,0.026615384615384624,0.2,0.17,0.2,0.0,0.06,0.0
320700,连云港市,320000,0.007912087912087914,0.0,0.011076923076923078,0.15,0.0,0.15,0.0,0.0,0.0
320800,淮安市,320000,0.008021978021978023,0.003076923076923077,0.01,0.23,0.08,0.23,0.0,0.0,0.0
320900,盐城市,320000,0.04846153846153845,0.01653846153846154,0.06123076923076921,0.51,0.1,0.51,0.0,0.0,0.0
321000,扬州市,320000,0.03967032967032968,0.025000000000000005,0.04553846153846153,0.43,0.12,0.43,0.0,0.0,0.0
321100,镇江市,320000,0.01802197802197803,0.0038461538461538464,0.023692307692307703,0.12,0.1,0.12,0.0,0.0,0.0
321200,泰州市,320000,0.01582417582417583,0.026538461538461535,0.011538461538461539,0.11,0.11,0.1,0.0,0.0,0.0
321300,宿迁市,320000,0.005384615384615384,0.0,0.007538461538461538,0.1,0.0,0.1,0.0,0.0,0.0
