id,city_id,city_baidu_id_x,city_name,province_id,city_baidu_id_y,moveIn_index_sum,moveIn_index_max,moveIn_index_min,moveOut_index_sum,moveOut_index_max,moveOut_index_min,travel_index_sum,travel_index_max,travel_index_min
130107,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130108,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130109,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130110,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130111,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130121,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130123,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130125,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130126,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130127,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130128,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130129,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130130,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130131,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130132,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130133,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130181,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130183,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130184,130100,130100,石家庄市,130000.0,130100.0,132.99344639999998,3.2844528,0.3659256,138.2515128,4.0872924,0.3948264,336.96789999999993,5.9427,1.7145
130202,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130203,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130204,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130205,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130207,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130208,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130209,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130223,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130224,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130225,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130227,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130229,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130281,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130283,130200,130200,唐山市,130000.0,130200.0,78.390018,1.8977652,0.2009448,78.01404839999998,2.2056624,0.200718,368.39539999999994,5.9061,1.8941
130302,130300,130300,秦皇岛市,130000.0,130300.0,34.400214000000005,0.9455616,0.1004076,36.17968680000002,1.1566152,0.0818424,354.59070000000014,5.7787,1.813
130303,130300,130300,秦皇岛市,130000.0,130300.0,34.400214000000005,0.9455616,0.1004076,36.17968680000002,1.1566152,0.0818424,354.59070000000014,5.7787,1.813
130304,130300,130300,秦皇岛市,130000.0,130300.0,34.400214000000005,0.9455616,0.1004076,36.17968680000002,1.1566152,0.0818424,354.59070000000014,5.7787,1.813
130306,130300,130300,秦皇岛市,130000.0,130300.0,34.400214000000005,0.9455616,0.1004076,36.17968680000002,1.1566152,0.0818424,354.59070000000014,5.7787,1.813
130321,130300,130300,秦皇岛市,130000.0,130300.0,34.400214000000005,0.9455616,0.1004076,36.17968680000002,1.1566152,0.0818424,354.59070000000014,5.7787,1.813
130322,130300,130300,秦皇岛市,130000.0,130300.0,34.400214000000005,0.9455616,0.1004076,36.17968680000002,1.1566152,0.0818424,354.59070000000014,5.7787,1.813
130324,130300,130300,秦皇岛市,130000.0,130300.0,34.400214000000005,0.9455616,0.1004076,36.17968680000002,1.1566152,0.0818424,354.59070000000014,5.7787,1.813
130402,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130403,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130404,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130406,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130421,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130423,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130424,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130425,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130426,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130427,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130428,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130429,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130430,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130431,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130432,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130433,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130434,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
130435,130400,130400,邯郸市,130000.0,130400.0,91.43118,3.4095816,0.2580984,92.87492400000001,1.7983296,0.4049352,354.5585999999999,5.9318,1.8626
