id,t2m_mean,t2m_max,t2m_min
110102,275.48830805504014,289.4024166666667,264.98883333333333
110106,274.2445839904143,287.6408333333333,263.35183333333333
110109,272.68064254792824,286.241875,261.6787916666667
110111,274.12770547309833,287.38179166666674,263.23699999999997
110112,275.7763561765615,289.90412499999996,265.4677083333333
110113,275.09429978354984,288.98154166666666,264.4190416666667
110114,274.0836442099568,287.4764583333333,262.55737500000004
110115,276.1953142393322,290.51354166666664,266.2605416666667
110116,271.9888251391465,284.9314583333333,261.270625
110117,275.3890144557823,289.4244166666667,264.70454166666667
110118,273.4202227891158,286.3383333333333,263.07841666666667
110119,271.7414287646878,284.7713333333333,261.01837500000005
120104,277.15676758658003,290.4309166666667,268.0579166666667
120110,277.12339312770547,290.43362500000006,267.881875
120112,277.27991720779215,290.0024166666666,268.5374166666666
120114,276.6260826762524,290.3684166666667,266.86629166666665
120115,276.47884979901056,290.0528749999999,267.08504166666665
120116,277.2800842996289,290.0665416666667,268.5127083333333
120118,277.46644936611017,290.0577916666666,268.49762499999997
120225,274.74472464440316,288.53266666666667,264.4653333333333
130100,276.16333553648735,288.74095833333325,265.3904999999999
130200,275.4854706632652,288.674375,265.58820833333334
130302,273.24384079313535,286.2234583333333,260.61500000000007
130306,274.7387447433518,288.246125,263.4219166666667
130321,273.45629560915273,286.3274166666667,261.04275
130322,275.45132274273345,289.18683333333337,264.99854166666665
130324,275.2292099180581,288.802125,264.436375
130400,278.15113771645014,290.76662500000003,267.9914166666667
130500,277.85949145794694,290.5253333333334,267.4799166666667
130600,274.9598991573903,287.54841666666664,263.86195833333335
130703,269.3235892470625,283.6660416666667,257.2755833333334
130705,270.60213601576993,284.8585,258.96458333333334
130721,271.3263111471863,285.5859583333332,259.4480416666666
130722,267.9697026128634,282.3185416666667,254.96929166666666
130723,267.15237318336443,281.64412500000003,254.2208333333334
130724,266.9949444959803,281.0879166666667,254.01099999999994
130725,268.7883102968461,283.17995833333333,255.92354166666675
130726,271.77590797000624,284.9814166666667,259.8465833333333
130727,271.27224462739645,284.66524999999996,258.7175416666667
130728,270.7446006880026,285.2877916666667,258.3200833333333
130729,269.33293471706867,283.651,257.18775
130730,272.1282738481757,286.0084166666666,261.0172916666666
130731,271.8886578540508,286.03125000000006,260.19441666666665
130732,268.6501524041435,281.8090416666667,256.86895833333335
130733,267.9900519094002,281.89841666666666,255.5400833333333
130800,269.36548183364266,282.2387083333333,257.6459583333334
130900,277.98293135436,290.67391666666674,268.648125
131000,276.80749242424247,290.3854166666667,267.09700000000004
131100,278.4456989409401,291.42699999999996,267.9454583333333
140107,273.9799142316017,285.97270833333334,262.10300000000007
140109,272.5775570500928,284.813875,259.4082083333333
140110,274.1848096011132,287.0890833333333,261.24541666666664
140122,273.29744043753857,284.66241666666673,261.2067916666667
140123,271.60218247526285,284.45604166666664,256.69779166666666
140181,272.04342099567094,284.6232916666666,257.595125
140211,270.08036305658624,283.8799583333334,257.02787500000005
140212,269.3253002860235,283.50075,256.50716666666665
140221,270.3156822046999,283.87620833333335,257.5249166666666
140222,269.69915766079157,283.85549999999995,256.84962500000006
140223,271.78364822974646,285.82404166666663,259.2437083333334
140224,271.22820238095244,283.93862500000006,259.1536249999999
140225,271.1327397572667,284.0306666666667,258.35133333333323
140226,270.01783267625234,283.56066666666663,256.21487499999995
140227,271.2597564548547,284.5670416666666,258.3882916666667
140311,274.07165626932596,285.46725000000004,262.72570833333333
140321,275.5872639146567,287.245875,264.81716666666676
140322,273.532357606679,284.53070833333334,261.596125
140402,298.79233754638216,300.20420833333327,297.04474999999996
140411,275.2470051406925,286.60358333333335,265.3477083333333
140421,275.55466863790974,286.72795833333333,266.03737500000005
140423,275.4269264842301,286.4976666666666,265.10583333333335
140424,275.77561375231915,286.86999999999995,266.3887916666667
140425,275.44828548237496,286.38354166666664,265.6030416666666
140426,274.6569400123685,285.447875,264.64308333333327
140427,275.3514335575138,287.09599999999995,265.83733333333333
140428,275.4256522495361,286.4169583333334,266.1645
140429,274.8906728896104,285.959875,264.07070833333336
140430,274.6702197356215,285.9952916666667,263.8580416666667
140431,274.81789641311065,286.83004166666666,263.8199583333333
140481,275.0889693491032,286.04275000000007,265.2717083333333
140521,276.36114564007426,288.02112500000004,267.02929166666667
140522,276.30913450834885,288.4679583333333,267.1495
140524,275.98351596320344,288.8681666666667,266.43337499999996
140525,277.48583472479896,289.50537499999996,268.3954999999999
140581,275.79167969233146,287.8575,266.39675000000005
140602,269.92872537878793,283.19049999999993,255.15154166666662
140603,269.8088763528139,283.58887500000003,253.58120833333336
140621,270.852821312616,283.650375,257.3765416666667
140622,271.96928103741493,284.37025,259.43575
140623,270.08430967841684,283.8484583333332,255.5692916666667
140624,271.1099189471244,284.19604166666664,258.10037500000004
140702,275.5522537878788,288.07991666666675,264.125125
140721,274.4191631493507,286.0947916666666,263.54925
140722,273.94581984384666,285.50466666666665,263.3483333333333
140723,273.790868390538,285.35629166666666,263.125875
140724,274.5898479050711,286.3455833333333,263.911625
140725,274.2210790043291,286.09495833333335,262.6845416666667
140726,275.9154398191094,289.105375,265.370375
140727,275.96195968614734,288.9663333333333,264.57574999999997
140728,276.4346439007421,289.6099583333333,265.2060416666667
140729,276.06164104050714,289.1214166666667,264.5435416666666
140781,276.9997212043909,290.3467083333333,266.06570833333336
140802,280.2041066403833,292.46166666666664,271.15512499999994
140821,279.47614861626477,292.1456666666666,270.25812499999995
140822,279.13144059214585,291.44033333333334,269.5879999999999
140823,279.2412959570192,291.8449166666667,269.9559166666667
140824,277.7812285868893,289.52929166666667,267.57520833333336
140825,277.38054607297477,289.43687500000004,267.2330416666666
140826,278.5785614564008,290.92937499999994,269.468125
140827,277.5649112167594,290.4529583333333,268.85587499999997
140828,278.7411824752627,291.34245833333335,269.6191666666667
140829,279.01869758812626,290.83129166666663,270.13775
140830,280.00663481756345,292.60954166666664,271.6371666666666
140881,280.6296831709955,293.5588333333332,271.845625
140882,277.3762628710576,289.1957916666666,266.9694166666667
140902,272.38367741187386,283.74145833333336,259.4080416666667
140921,273.11650985621526,284.88437500000003,260.5937083333333
140922,271.13848129251693,284.1977916666668,258.6884166666667
140923,271.9135976731602,283.9794166666667,259.2805
140924,270.9565430194805,282.91908333333333,258.7014583333333
140925,269.0671426252319,282.09504166666665,252.9405833333334
140926,269.8063908858999,282.52108333333337,253.77233333333325
140927,270.0268852040816,283.8589583333333,254.282875
140928,270.82293232065547,284.4136666666667,255.939625
140929,271.59480504019785,285.0296666666667,255.90258333333335
140930,272.3184575989487,285.8671363636364,259.0851666666667
140931,273.1125366419296,286.8965909090909,259.00466666666665
140932,271.3763707096475,285.3835833333333,256.8344166666667
140981,271.067343305504,282.51754166666666,257.7525833333333
141002,276.9914000463822,288.7701666666666,266.62674999999996
141022,277.4827674319727,289.7636666666666,267.74116666666663
141023,277.49830971706854,289.38408333333336,267.52020833333336
141024,276.1327615955474,288.1915,265.25587500000006
141025,277.2400776901669,289.2280416666667,267.0625416666667
141026,275.7285887445888,287.12554166666666,265.55674999999997
141027,277.364308789425,289.349625,267.51875
141028,275.8398504174396,287.78095833333333,264.22383333333335
141029,275.59747220933826,287.2275,264.32900000000006
141030,276.0871796923315,288.32158333333336,264.2749166666666
141031,275.07305662492263,287.29037500000004,262.63724999999994
141032,276.13311514378466,288.6736249999999,264.0281666666666
141033,275.41814965986396,287.416,263.56237500000003
141034,275.6264227350031,288.08075,264.2527916666666
141081,278.28540669449603,290.3992083333333,268.75899999999996
141082,276.5913030689549,289.1265833333334,265.6502916666667
141102,273.5751285946197,286.80745833333333,258.6350416666667
141121,275.2145149969078,288.3439583333333,262.7555833333333
141122,271.38670987940617,284.8030416666667,254.96383333333333
141123,273.34917621366725,287.0892272727273,258.8168333333333
141124,274.51550023191095,288.22677272727265,261.28900000000004
141125,275.63776433982684,288.7663636363637,262.65124999999995
141126,275.8815064548547,288.56462500000004,263.3489166666666
141127,270.69845187847864,283.6382916666667,253.86058333333338
141128,272.64883449288806,285.6214166666666,257.26500000000004
141129,275.0776529452689,287.7728333333333,262.03770833333334
141130,274.2621176175015,286.4897083333333,261.6295833333333
141181,275.08537322201613,287.94304166666666,263.0173750000001
141182,272.72459098639456,285.58108333333337,258.1418333333333
150102,267.09422464440314,281.3435416666666,254.3779166666667
150103,268.22163265306125,282.20829166666664,256.05816666666664
150105,268.47936069882485,283.0195416666666,256.145125
150121,268.8826353973408,282.7444166666666,256.7433749999999
150122,271.0268552875695,285.1383181818182,257.86958333333337
150123,270.45532587353114,284.6657272727273,256.85470833333335
150124,270.9911054808286,285.3885454545454,256.5090416666667
150125,267.52272955318494,281.86545454545455,254.83304166666667
150202,269.43817497680897,284.01377272727274,256.63033333333334
150207,269.65884465831783,284.59831818181823,256.4440416666667
150221,269.95923384353745,284.30949999999996,257.5467916666667
150222,267.9700627705627,282.66908333333333,255.30320833333337
150223,268.53702686301796,283.95875,255.17358333333334
150302,272.4136530612245,286.5987916666666,259.558875
150303,273.0376194341374,287.0909545454545,260.097625
150402,270.4158606215213,286.7565,255.78875000000002
150403,270.518058557514,287.35858333333334,255.78116666666665
150404,268.3074558596164,284.102875,254.08150000000003
150421,267.2979872062462,283.53733333333327,252.47258333333332
150422,265.914125231911,281.9346666666667,250.59350000000003
150423,266.7517163342609,283.76091666666673,251.78054166666666
150424,265.86879568645645,283.804125,250.34429166666663
150425,264.7143145098948,282.28995833333335,249.03770833333337
150426,269.31301816635755,286.82825,254.08691666666667
150428,269.4415580550402,284.16658333333334,256.2578333333333
150429,269.94306404607295,284.1290833333333,257.0903333333334
150430,270.40124942022265,287.60112499999997,254.86591666666666
150502,269.114180465368,286.45983333333334,254.30208333333337
150521,268.3610392702536,285.65562499999993,253.34120833333338
150522,269.2053783240569,284.68891666666667,254.34320833333325
150523,268.94901406926414,287.46204166666666,253.88470833333338
150524,269.97459168212754,286.35612499999996,254.8253333333333
150525,269.97280639301175,287.5007916666666,254.50562499999998
150526,266.6569626236858,282.77824999999996,251.42341666666664
150581,263.17125297619043,281.82133333333326,247.11674999999994
150602,271.4596711502783,285.95277272727276,256.8650416666666
150621,271.41883804885595,286.2570454545454,257.122875
150622,271.830811417749,286.19272727272727,257.8412083333333
150623,273.16594163574524,285.7603636363637,261.2285
150624,271.99249729437213,285.3288181818182,259.08970833333336
150625,271.62508503401364,285.9985,257.4682916666667
150626,272.3870090058751,286.14309090909086,259.1148333333334
150627,271.2494514919603,284.8009545454545,257.658625
150702,259.8792159863946,279.53458333333333,245.45345833333332
150721,262.0764790120594,278.56850000000003,249.05758333333335
150722,262.073684407854,279.2927499999999,250.25787499999998
150723,260.1996251932592,277.1362083333333,248.47837500000003
150724,260.2970770717378,280.50708333333336,244.26029166666672
150725,259.9497084106371,279.18529166666667,245.04912499999998
150726,260.43580828695116,280.82795833333336,243.9009583333333
150727,261.54607061688324,279.95491666666663,246.39916666666667
150781,260.55527214749543,279.1839583333333,245.51520833333336
150782,259.62019012832394,278.18725,245.3507916666667
150783,262.22605434446496,277.658,247.4662916666667
150784,258.3803418753865,277.68445833333334,244.66974999999994
150785,258.2465424397031,277.1537916666667,244.8299166666666
150802,270.1602036951145,285.5145454545454,258.1005833333333
150821,270.1964787028448,285.4379545454546,257.3897083333333
150822,270.87897622912794,285.7695454545455,257.99774999999994
150823,269.8433088667284,285.0252272727273,256.39699999999993
150824,268.9067356215213,285.09979166666665,254.98758333333333
150825,270.2771970470007,285.9652272727273,256.43762499999997
150826,270.0956110853432,284.66263636363635,258.09174999999993
150921,267.4862944882498,281.7435,254.92999999999998
