id,t2m_mean,t2m_max,t2m_min,t2m_mean_before,t2m_max_before,t2m_min_before,t2m_mean_after,t2m_max_after,t2m_min_after
110000,272.84334249084253,284.98962500000005,263.05329166666667,267.4649006410257,271.10116666666664,263.05329166666667,274.99471923076925,284.98962500000005,263.59191666666675
120000,275.91380036630034,288.57004166666667,267.294,270.77859775641025,273.34175,267.294,277.96788141025644,288.57004166666667,268.4801666666667
130100,275.56078617216116,288.74095833333325,265.3904999999999,269.8123814102564,273.5359583333333,265.3904999999999,277.8601480769231,288.74095833333325,268.3022916666667
130200,274.7753905677655,286.564375,265.58820833333334,270.1619166666667,273.09795833333334,266.14658333333335,276.6207801282051,286.564375,265.58820833333334
130300,273.48607783882784,284.93333333333334,262.46416666666664,269.21153525641023,272.5287916666667,264.316875,275.19589487179485,284.93333333333334,262.46416666666664
130400,277.60873717948715,290.76662500000003,267.9914166666667,271.7202371794872,275.2950416666667,267.9914166666667,279.9641371794872,290.76662500000003,270.9291666666666
130500,277.2930984432235,290.5253333333334,267.4799166666667,271.3110240384615,274.48679166666665,267.4799166666667,279.6859282051282,290.5253333333334,270.8765
130600,274.2804482600734,287.54841666666664,263.86195833333335,268.6273141025641,272.191875,263.86195833333335,276.541701923077,287.54841666666664,266.6495416666666
130700,268.5432051282051,282.36774999999994,256.98,262.6522083333333,267.37050000000005,256.98,270.8996038461538,282.36774999999994,259.3275416666667
130800,268.58345375457884,282.1599166666667,257.6459583333334,263.25464423076926,267.8640833333333,258.41545833333333,270.7149775641026,282.1599166666667,257.6459583333334
130900,277.3634977106228,290.67391666666674,268.648125,271.98673076923075,274.52504166666665,268.648125,279.51420448717954,290.67391666666674,270.49620833333336
131000,276.0612495421246,289.3794166666666,267.09700000000004,270.58040224358973,273.1495,267.09700000000004,278.2535884615384,289.3794166666666,269.1184999999999
131100,277.8292316849817,291.42699999999996,267.9454583333333,271.71559615384615,273.85158333333334,267.9454583333333,280.274685897436,291.42699999999996,271.49779166666667
140100,272.1947733516485,284.94229166666656,259.48037500000004,266.53709775641033,271.0187916666667,259.48037500000004,274.45784358974356,284.94229166666656,263.95616666666666
140200,269.8150082417581,283.2431666666667,257.72645833333337,263.7282083333333,267.386125,257.72645833333337,272.2497282051281,283.2431666666667,261.1255416666667
140300,273.4547413003663,285.1358333333333,262.379,267.9541266025641,271.5773749999999,262.379,275.6549871794872,285.1358333333333,265.63587499999994
140400,274.6785,286.31920833333334,265.31200000000007,269.63873557692307,273.6472083333333,265.31200000000007,276.6944057692308,286.31920833333334,267.62741666666665
140500,276.02005036630027,288.3594583333333,267.3175833333333,270.9454583333334,275.11049999999994,267.3175833333333,278.0498871794871,288.3594583333333,269.18870833333335
140600,269.9015654761905,283.5948333333334,256.5492916666667,263.53707852564105,268.11425,256.5492916666667,272.4473602564102,283.5948333333334,261.33570833333334
140700,274.3792467948718,286.97162499999996,264.03320833333333,269.1225913461538,272.76008333333334,264.03320833333333,276.481908974359,286.97162499999996,266.7934583333334
140800,278.38788598901095,290.9955833333333,269.8189999999999,273.15496314102563,276.8090833333334,269.8189999999999,280.48105512820507,290.9955833333333,270.8950416666667
140900,270.46275503663014,283.3125416666667,257.18762499999997,264.37521955128204,269.1975,257.18762499999997,272.8977692307692,283.3125416666667,261.7362083333333
141000,275.78679532967044,288.314,265.3965416666667,270.6790384615384,274.5585833333334,265.3965416666667,277.82989807692314,288.314,267.454625
141100,273.2356291208792,286.45912500000003,259.9125833333333,267.3917099358974,272.1048333333333,259.9125833333333,275.57319679487176,286.45912500000003,264.3633333333334
150100,268.57609615384604,283.19862499999994,256.3788333333333,262.2602003205128,267.75558333333333,256.3788333333333,271.1024544871795,283.19862499999994,258.77937499999996
150200,267.709538919414,283.10695833333335,255.6884166666667,261.2984102564103,266.2238333333333,255.6884166666667,270.2739903846155,283.10695833333335,256.44495833333326
150300,272.0435228937729,286.02604166666674,259.91808333333336,265.71574038461534,270.02608333333325,260.20958333333334,274.57463589743594,286.02604166666674,259.91808333333336
150400,266.5597651098901,284.11958333333337,252.692125,261.2871185897436,266.911625,256.55749999999995,268.66882371794884,284.11958333333337,252.692125
150500,267.54062774725276,284.968375,253.2759166666667,261.6708461538461,266.75345833333324,257.36158333333333,269.88854038461545,284.968375,253.2759166666667
150600,271.19679029304024,284.93083333333334,258.5386666666666,264.7427451923076,269.4473333333333,258.5386666666666,273.77840833333335,284.93083333333334,260.4362083333333
150700,259.14155494505496,278.15549999999996,246.30825000000002,252.6911362179487,258.77187499999997,249.07591666666667,261.72172243589745,278.15549999999996,246.30825000000002
150800,268.8751414835165,283.0557916666667,256.4338333333333,262.4204262820513,267.049,256.4338333333333,271.4570275641026,283.0557916666667,257.97770833333334
150900,267.1107206959707,282.83025,254.826,260.6198782051282,266.69654166666663,254.826,269.7070576923077,282.83025,257.3070000000001
152200,263.3073369963369,280.4853333333333,248.89899999999992,258.2187163461539,263.2085,254.56987500000002,265.34278525641037,280.4853333333333,248.89899999999992
152500,263.6964482600732,283.28341666666665,249.48624999999993,257.5261971153846,264.5696666666666,252.71641666666665,266.1645487179488,283.28341666666665,249.48624999999993
152900,271.4543804945054,285.738,260.7417083333334,264.94072756410253,267.97529166666664,260.7417083333334,274.0598416666666,285.738,260.9892916666667
210100,269.67830311355306,284.82974999999993,255.95379166666666,263.52899519230766,270.92499999999995,258.8011666666667,272.1380262820514,284.82974999999993,255.95379166666666
210200,273.3362779304029,282.94366666666673,261.0867916666666,270.04655128205127,274.7082916666667,264.9261666666667,274.6521685897437,282.94366666666673,261.0867916666666
