id,rh_mean,rh_max,rh_min,rh_mean_before,rh_max_before,rh_min_before,rh_mean_after,rh_max_after,rh_min_after
110000,45.35787800711192,86.72239583333332,17.081541666666666,46.56563798076923,74.0232875,34.093583333333335,44.92174246106902,86.72239583333332,17.081541666666666
120000,45.100044403602325,90.38672916666667,10.992484166666669,45.79782371794873,79.90579583333334,25.327987500000006,44.84806854008838,90.38672916666667,10.992484166666669
130100,52.002166701066805,87.98158333333335,19.951803749999996,56.47967932692307,87.98158333333335,34.4772625,50.385287141729805,87.73307499999999,19.951803749999996
130200,45.542261556895504,93.55152916666667,12.276570833333333,45.06289134615385,68.45233333333333,27.5501375,45.71536746632995,93.55152916666667,12.276570833333333
130300,46.836263346474965,89.61441666666667,15.154958333333331,47.22959807692309,70.36373750000003,30.807416666666672,46.69422580492425,89.61441666666667,15.154958333333331
130400,53.33050357258813,93.54847916666667,15.69496375,63.7255483974359,93.54847916666667,33.02822083333333,49.57673738583754,83.02827083333334,15.69496375
130500,51.97305835034016,92.16348749999997,16.162755833333332,60.27827916666666,92.16348749999997,31.36685,48.97395083333331,83.70726666666668,16.162755833333332
130600,48.985350301484225,85.58514166666667,18.84944166666667,51.760536378205146,84.47799166666665,33.314962499999986,47.98319977377945,85.58514166666667,18.84944166666667
130700,46.23315645871986,77.06851666666667,18.18559583333333,55.893890865384606,73.25552499999999,37.602174999999995,42.7445579229798,77.06851666666667,18.18559583333333
130800,47.83960349799013,82.66422916666669,15.258504166666667,54.371175480769246,69.73694583333332,40.74010000000001,45.48098028198653,82.66422916666669,15.258504166666667
130900,47.97655434407852,91.769,13.765870833333333,52.24940625,91.769,29.133279166666664,46.43358004471801,86.79781250000002,13.765870833333333
131000,44.561946360544205,90.71977500000001,11.005405833333334,45.50084599358974,83.28686250000001,24.850383333333337,44.22289927083333,90.71977500000001,11.005405833333334
131100,49.053567709879395,95.88316250000001,14.633508333333332,55.44749967948717,95.88316250000001,28.790791666666667,46.744647831965466,88.98783333333331,14.633508333333332
140100,49.681743707482994,89.61667499999999,20.039258333333333,60.03679599358974,88.59997499999999,43.28362083333334,45.94241927083333,89.61667499999999,20.039258333333333
140200,45.62912792207793,82.36313750000001,18.78788333333333,54.764191826923074,80.24816249999999,39.792154166666656,42.33035484532829,82.36313750000001,18.78788333333333
140300,51.12862667748916,90.16522083333335,20.622966666666667,58.32315849358973,90.16522083333335,41.910991666666675,48.53060129945286,87.25476666666667,20.622966666666667
140400,54.2951147077922,91.8157625,17.610744583333332,66.4590642628205,88.94939166666667,40.01385833333333,49.902577368476415,91.8157625,17.610744583333332
140500,56.82530284747992,91.44203333333336,15.751767500000001,70.30294214743589,89.94887083333334,38.72647083333333,51.958377544718005,91.44203333333336,15.751767500000001
140600,48.40613230905999,83.17844166666664,18.774170833333333,58.80803269230769,83.17844166666664,41.57949166666666,44.649890503998314,82.99662499999998,18.774170833333333
140700,50.445255817486064,87.86263333333333,19.455525416666667,59.93710336538462,86.31742500000001,42.377495833333334,47.01764420296719,87.86263333333333,19.455525416666667
140800,55.46425964440321,93.344,15.855914166666667,68.84200256410257,93.344,44.203224999999996,50.63340803451178,93.06010833333333,15.855914166666667
140900,49.17682343073592,86.87152083333332,18.13255,59.096196314102556,86.06041666666665,42.926520833333335,45.59482766729798,86.87152083333332,18.13255
141000,52.00966970006186,92.72117083333332,16.4789,64.69828958333333,89.82205833333335,40.48896249999999,47.427668075547146,92.72117083333332,16.4789
141100,49.11226601422387,92.88045833333332,15.981741666666666,61.52491233974359,88.20129583333333,43.239733333333334,44.629921507786186,92.88045833333332,15.981741666666666
150100,45.38300296072973,87.23687916666665,15.525333333333334,58.02210368589743,81.57628749999999,41.88765,40.81888325441919,87.23687916666665,15.525333333333334
150200,43.964103044604215,84.81750833333334,11.883904166666667,62.23829823717949,84.81750833333334,42.82301666666667,37.365088113952005,75.13767500000002,11.883904166666667
150300,38.339955609152746,82.55059999999999,6.831946666666666,60.95656746794872,82.55059999999999,42.410579166666665,30.172845771254213,80.30089999999997,6.831946666666666
150400,46.428833669604224,70.76184583333334,12.809219166666665,59.17259615384615,70.76184583333334,42.16024166666666,41.8269194391835,69.81347083333334,12.809219166666665
150500,44.00591108843536,76.24766666666667,11.795272499999998,56.93008044871795,76.24766666666667,38.50432083333333,39.338849930555575,73.8441,11.795272499999998
150600,43.33237477350033,86.26017500000002,10.595633750000001,63.69026185897437,86.26017500000002,49.41735416666668,35.980915548190225,76.7002,10.595633750000001
150700,62.04965889764998,93.40156666666667,16.425233333333335,85.20732067307692,93.40156666666667,63.585312499999986,53.68716992319022,89.56881666666665,16.425233333333335
150800,40.63044520717377,83.77470416666667,10.675912916666666,61.61922820512821,83.77470416666667,44.870762500000005,33.051162457912454,75.39265416666666,10.675912916666666
150900,46.04720708526594,85.70295833333334,13.556095416666663,62.093433653846155,85.70295833333334,45.74356666666667,40.25273637994528,73.98209166666666,13.556095416666663
152200,49.4937318131571,81.70972916666666,12.381787499999996,66.6191091346154,81.70972916666666,47.47823333333332,43.30956778040826,70.31122916666668,12.381787499999996
152500,52.670557607065554,88.2462125,15.089175833333334,73.59566330128204,88.2462125,52.9331,45.114269439709595,78.05775833333333,15.089175833333334
152900,35.730112926716124,77.13089583333334,10.106924166666667,57.207599038461545,77.13089583333334,44.178658333333324,27.97435405303031,67.43724166666667,10.106924166666667
210100,44.61566197820038,88.62089583333334,13.191095833333335,49.476738141025635,80.21428333333333,24.18467916666667,42.8602733638468,88.62089583333334,13.191095833333335
210200,55.81904070423623,94.66945833333334,21.418558333333337,56.499058012820505,90.19729166666667,27.162975000000003,55.57347889835857,94.66945833333334,21.418558333333337
210300,49.94490168135434,89.93106666666667,18.29905,51.384189903846156,87.77742916666665,20.212245833333334,49.42515871212119,89.93106666666667,18.29905
210400,52.021963821892406,93.16640416666667,22.659012500000003,60.29524310897436,86.72559999999999,26.051633333333328,49.03439074600167,93.16640416666667,22.659012500000003
210500,54.00340969774274,94.29909166666665,22.677599999999998,59.83399631410254,90.83740833333333,22.839695833333334,51.89792008627946,94.29909166666665,22.677599999999998
210600,53.0562311773346,98.24310833333334,17.32375916666667,54.169021666666666,92.16059166666666,17.32375916666667,52.654390167298,98.24310833333334,21.049145833333334
210700,45.108942196583186,93.5219791666667,14.873741666666668,48.934922115384616,83.76384583333333,29.853133333333336,43.72733833701599,93.5219791666667,14.873741666666668
210800,50.64073812229436,91.7489625,18.596583333333335,51.190928205128216,91.7489625,21.798299999999998,50.44205837015994,88.82526666666668,18.596583333333335
210900,44.384459182513915,88.83126666666668,14.759307083333333,51.279849038461535,80.32698749999999,35.31446666666667,41.8944572900884,88.83126666666668,14.759307083333333
211000,47.739914846165725,87.15115833333333,18.103895833333333,50.37838798076923,87.15115833333333,19.06239166666666,46.78713288089225,86.77777916666666,18.103895833333333
