id,class_id
110102,1
110106,2
110109,3
110111,4
110112,5
110113,6
110114,7
110115,8
110116,9
110117,10
110118,11
110119,12
120104,13
120110,14
120112,15
120114,16
120115,17
120116,18
120118,19
120225,20
130100,21
130200,22
130302,23
130306,24
130321,25
130322,26
130324,27
130400,28
130500,29
130600,30
130703,31
130705,32
130721,33
130722,34
130723,35
130724,36
130725,37
130726,38
130727,39
130728,40
130729,41
130730,42
130731,43
130732,44
130733,45
130800,46
130900,47
131000,48
131100,49
140107,50
140109,51
140110,52
140122,53
140123,54
140181,55
140211,56
140212,57
140221,58
140222,59
140223,60
140224,61
140225,62
140226,63
140227,64
140311,65
140321,66
140322,67
140402,68
140411,69
140421,70
140423,71
140424,72
140425,73
140426,74
140427,75
140428,76
140429,77
140430,78
140431,79
140481,80
140521,81
140522,82
140524,83
140525,84
140581,85
140602,86
140603,87
140621,88
140622,89
140623,90
140624,91
140702,92
140721,93
140722,94
140723,95
140724,96
140725,97
140726,98
140727,99
140728,100
140729,101
140781,102
140802,103
140821,104
140822,105
140823,106
140824,107
140825,108
140826,109
140827,110
140828,111
140829,112
140830,113
140881,114
140882,115
140902,116
140921,117
140922,118
140923,119
140924,120
140925,121
140926,122
140927,123
140928,124
140929,125
140930,126
140931,127
140932,128
140981,129
141002,130
141022,131
141023,132
141024,133
141025,134
141026,135
141027,136
141028,137
141029,138
141030,139
141031,140
141032,141
141033,142
141034,143
141081,144
141082,145
141102,146
141121,147
141122,148
141123,149
141124,150
141125,151
141126,152
141127,153
141128,154
141129,155
141130,156
141181,157
141182,158
150102,159
150103,160
150105,161
150121,162
150122,163
150123,164
150124,165
150125,166
150202,167
150207,168
150221,169
150222,170
150223,171
150302,172
150303,173
150402,174
150403,175
150404,176
150421,177
150422,178
150423,179
150424,180
150425,181
150426,182
150428,183
150429,184
150430,185
150502,186
150521,187
150522,188
150523,189
150524,190
150525,191
150526,192
150581,193
150602,194
150621,195
150622,196
150623,197
150624,198
150625,199
150626,200
150627,201
150702,202
150721,203
150722,204
150723,205
150724,206
150725,207
150726,208
150727,209
150781,210
150782,211
150783,212
150784,213
150785,214
150802,215
150821,216
150822,217
150823,218
150824,219
150825,220
150826,221
150921,222
150922,223
150923,224
150924,225
150925,226
150926,227
150927,228
150928,229
150929,230
150981,231
152201,232
152202,233
152221,234
152222,235
152223,236
152224,237
152502,238
152522,239
152523,240
152524,241
152525,242
152526,243
152527,244
152528,245
152529,246
152530,247
152531,248
152921,249
152922,250
152923,251
210111,252
210112,253
210113,254
210114,255
210122,256
210123,257
210124,258
210181,259
210200,260
210311,261
210321,262
210323,263
210381,264
210411,265
210421,266
210422,267
210423,268
210500,269
210603,270
210624,271
210681,272
210682,273
210700,274
210800,275
210921,276
210922,277
211000,278
211100,279
211221,280
