id,rh_mean,rh_max,rh_min,rh_mean_before,rh_max_before,rh_min_before,rh_mean_after,rh_max_after,rh_min_after,t2m_mean,t2m_max,t2m_min,t2m_mean_before,t2m_max_before,t2m_min_before,t2m_mean_after,t2m_max_after,t2m_min_after,npp,location,confirmed_before,cured_before,dead_before,confirmed,cured,dead,confirmed_after,cured_after,dead_after,moveIn_index_mean,moveIn_index_max,moveIn_index_min,moveIn_index_mean_before,moveIn_index_max_before,moveIn_index_min_before,moveIn_index_mean_after,moveIn_index_max_after,moveIn_index_min_after,moveOut_index_mean,moveOut_index_max,moveOut_index_min,moveOut_index_mean_before,moveOut_index_max_before,moveOut_index_min_before,moveOut_index_mean_after,moveOut_index_max_after,moveOut_index_min_after,travel_index_mean,travel_index_max,travel_index_min,travel_index_mean_before,travel_index_max_before,travel_index_min_before,travel_index_mean_after,travel_index_max_after,travel_index_min_after,420100_moveIn_mean,420100_moveIn_mean_before,420100_moveIn_mean_after,420100_moveIn_max,420100_moveIn_max_before,420100_moveIn_max_after,420100_moveIn_min,420100_moveIn_min_before,420100_moveIn_min_after,confirmed_log,cured_log,dead_log,confirmed_before_log,cured_before_log,dead_before_log,confirmed_after_log,cured_after_log,dead_after_log
110000,46.602664120370356,86.72239583333332,17.081541666666666,46.9523525,74.0232875,34.09358333333333,46.46816858974358,86.72239583333332,17.081541666666666,272.94018472222217,284.9896250000001,263.05329166666667,267.59839500000004,271.10116666666664,263.05329166666667,274.99471923076925,284.9896250000001,263.59191666666675,6.253819999999999,北京市,68,0,0,580,418,8,512,418,8,4.460552505494504,13.858452,1.539648,8.432141123076923,13.858452,2.5494263999999998,2.8719170584615386,6.3441792,1.539648,4.917454457142857,23.914472399999998,0.8073108,13.719755076923075,23.914472399999998,5.303232,1.3965342092307698,3.6684252,0.8073108,3.281025274725275,6.6375,1.3431,5.149476923076923,6.6375,1.6544,2.5336446153846155,4.2272,1.3431,0.4671428571428569,1.1796153846153847,0.18215384615384625,2.21,2.21,0.45,0.06,0.36,0.06,6.364750756851911,6.037870919922137,2.1972245773362196,4.23410650459726,0.0,0.0,6.240275845170769,6.037870919922137,2.1972245773362196
120000,46.56494708796295,90.38672916666668,10.992484166666667,46.36279100000001,79.90579583333334,25.32798750000001,46.64269942948717,90.38672916666668,10.992484166666667,276.0095759259259,288.57004166666667,267.50479166666673,270.91798166666666,273.34175,267.50479166666673,277.96788141025644,288.57004166666667,268.48016666666666,7.1239300000000005,天津市,14,0,0,174,135,3,160,135,3,1.958264545054944,4.458564,0.5415012,3.162977723076924,4.458564,1.258092,1.4763792738461534,2.5123607999999997,0.5415012,2.1143634725274723,7.012817999999999,0.359802,4.967039630769231,7.012817999999999,2.0054952,0.9732930092307692,1.9949004000000001,0.359802,3.6560373626373637,6.3527,1.4763,5.2226423076923085,6.3527,2.6262,3.029395384615383,5.2505,1.4763,0.17802197802197806,0.18807692307692309,0.174,2.09,0.32,2.09,0.0,0.0,0.0,5.1647859739235145,4.912654885736052,1.3862943611198906,2.70805020110221,0.0,0.0,5.081404364984463,4.912654885736052,1.3862943611198906
130100,52.60106684722222,87.98158333333333,19.95180375,57.01897933333333,87.98158333333333,34.4772625,50.901869737179496,87.73307499999999,19.95180375,275.64599166666665,288.74095833333325,265.3904999999999,269.889185,273.5359583333333,265.3904999999999,277.8601480769231,288.74095833333325,268.3022916666667,2.14262,石家庄市,7,0,0,29,29,0,22,29,0,1.461466443956044,3.2844528,0.36592559999999996,2.5684614,3.2844528,1.1462796,1.0186684615384616,1.8410004,0.36592559999999996,1.519247393406593,4.0872924,0.3948264,2.9825782615384613,4.0872924,1.4131908000000002,0.933915046153846,1.7740619999999998,0.3948264,3.702943956043955,5.9427,1.7145,5.111357692307692,5.9427,2.2496,3.139578461538462,5.1806,1.7145,0.0934065934065934,0.1846153846153846,0.05692307692307694,0.72,0.29,0.72,0.0,0.06,0.0,3.4011973816621555,3.4011973816621555,0.0,2.0794415416798357,0.0,0.0,3.1354942159291497,3.4011973816621555,0.0
130200,47.052032175925945,93.55152916666668,12.276570833333333,45.51895283333333,68.45233333333333,27.5501375,47.641678076923064,93.55152916666668,12.276570833333333,274.87126620370356,286.564375,265.58820833333334,270.32253000000003,273.09795833333334,266.92383333333333,276.6207801282051,286.564375,265.58820833333334,2.67739,唐山市,0,0,0,58,55,1,0,0,0,0.8614287692307692,1.8977651999999998,0.20094479999999998,1.4899015384615382,1.8977651999999998,0.8774892,0.6100396615384617,1.1333520000000001,0.20094479999999998,0.8572972351648349,2.2056624,0.200718,1.5663082153846153,2.2056624,0.8376048,0.5736928430769231,1.1321531999999999,0.200718,4.048301098901098,5.9061,1.8941,5.394669230769232,5.9061,3.8499,3.5097538461538464,5.3882,1.8941,0.011868131868131869,0.0,0.016615384615384615,0.3,0.0,0.3,0.0,0.0,0.0,4.07753744390572,4.02535169073515,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
130300,48.468626527777786,89.61441666666668,15.154958333333333,47.67385550000001,70.36373750000003,30.80741666666667,48.77430769230771,89.61441666666668,15.154958333333333,273.5879578703704,284.93333333333334,262.46416666666664,269.40732166666663,272.5287916666667,265.498375,275.19589487179485,284.93333333333334,262.46416666666664,1.50255,秦皇岛市,0,0,0,10,9,1,0,0,0,0.3780243296703297,0.9455616,0.1004076,0.7050451846153847,0.9455616,0.45538199999999995,0.2472159876923077,0.592434,0.1004076,0.3975789758241761,1.1566152,0.0818424,0.7556178461538464,1.1566152,0.42712920000000004,0.2543634276923077,0.5137668,0.0818424,3.8966010989011006,5.7787,1.8130000000000002,5.170742307692307,5.7787,3.4338,3.3869446153846154,5.0298,1.8130000000000002,0.002857142857142857,0.0,0.004,0.05,0.0,0.05,0.0,0.0,0.0,2.3978952727983707,2.302585092994046,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
130400,54.104618023148156,93.54847916666668,15.69496375,64.47721899999999,93.54847916666668,33.02822083333333,50.11515610897436,83.02827083333334,15.69496375,277.6951273148148,290.7666250000001,267.9914166666667,271.7957016666667,275.2950416666667,267.9914166666667,279.9641371794872,290.7666250000001,270.9291666666666,1.4813,邯郸市,2,0,0,32,32,0,30,32,0,1.0047382417582418,3.4095816,0.2580984,2.054692107692308,3.4095816,0.8706528,0.5847566953846156,1.0477511999999998,0.2580984,1.0206035604395605,1.7983296000000002,0.40493520000000005,1.2854463230769229,1.7983296000000002,0.595188,0.9146664553846156,1.4042484,0.40493520000000005,3.8962483516483504,5.9318,1.8626,5.089307692307692,5.9318,2.9872,3.4190246153846164,4.9924,1.8626,0.06615384615384616,0.14846153846153848,0.03323076923076924,0.23,0.23,0.23,0.0,0.0,0.0,3.4965075614664802,3.4965075614664802,0.0,1.0986122886681098,0.0,0.0,3.4339872044851463,3.4965075614664802,0.0
130500,52.84330034259261,92.16348749999996,16.162755833333332,61.00039833333332,92.16348749999996,31.36685,49.70595496153846,83.70726666666668,16.162755833333332,277.37945648148155,290.5253333333334,267.47991666666667,271.38262999999995,274.48679166666665,267.47991666666667,279.68592820512816,290.5253333333334,270.8765,1.31178,邢台市,1,0,0,23,22,1,22,22,1,0.8285125054945051,2.8281312,0.1518588,1.7129107384615383,2.8281312,0.6755399999999999,0.4747532123076924,1.1258351999999998,0.1518588,0.8221453714285719,1.7485631999999998,0.24371279999999998,1.183838676923077,1.7485631999999998,0.48438000000000003,0.677468049230769,1.252098,0.24371279999999998,3.6104373626373634,5.7471,1.4716,4.92485,5.7471,2.6282,3.0846723076923075,5.1127,1.4716,0.03659340659340659,0.09653846153846156,0.012615384615384615,0.25,0.18,0.25,0.0,0.0,0.0,3.1780538303479458,3.1354942159291497,0.6931471805599453,0.6931471805599453,0.0,0.0,3.1354942159291497,3.1354942159291497,0.6931471805599453
130600,49.9318710648148,85.58514166666667,18.84944166666667,52.2122115,84.47799166666665,33.314962499999986,49.05481705128204,85.58514166666667,18.84944166666667,274.36529814814827,287.54841666666664,263.86195833333335,268.70664833333336,272.191875,263.86195833333335,276.541701923077,287.54841666666664,266.6495416666666,1.33822,保定市,3,0,0,32,32,0,29,32,0,1.2891749934065937,4.0152024,0.22903560000000003,2.778773538461538,4.0152024,1.401948,0.6933355753846154,1.5609671999999999,0.22903560000000003,1.316602483516483,3.4231896,0.302616,2.5033461230769234,3.4231896,0.93474,0.8419050276923078,1.6792272000000001,0.302616,3.1553813186813198,5.2587,1.2619,4.722723076923078,5.2587,2.3791,2.528444615384616,4.3571,1.2619,0.05791208791208788,0.10653846153846153,0.038461538461538464,0.33,0.15,0.33,0.0,0.0,0.0,3.4965075614664802,3.4965075614664802,0.0,1.3862943611198906,0.0,0.0,3.4011973816621555,3.4965075614664802,0.0
130700,47.87532513888889,77.06851666666667,18.2523625,56.31453449999999,73.25552499999998,37.602175,44.629475384615375,77.06851666666667,18.2523625,268.616775925926,282.36774999999994,256.98,262.6814233333333,267.37050000000005,256.98,270.8996038461538,282.36774999999994,259.32754166666666,0.672233,张家口市,0,0,0,41,41,0,0,0,0,0.4958666901098902,1.8043884,0.12101400000000001,1.1212991999999995,1.8043884,0.6611544,0.2456936861538461,0.6114204000000001,0.12101400000000001,0.4884631120879121,1.1820168,0.1748304,0.8453247230769232,1.1820168,0.34972559999999997,0.3457184676923075,0.7174332,0.1748304,3.668991208791209,5.3764,2.0207,4.99101153846154,5.3764,4.5297,3.1401830769230767,4.5373,2.0207,0.006923076923076922,0.0,0.009692307692307693,0.12,0.0,0.12,0.0,0.0,0.0,3.7376696182833684,3.7376696182833684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130800,49.64728810185189,82.66422916666669,15.258504166666668,54.91641850000002,69.73694583333332,41.29886250000001,47.620699487179486,82.66422916666669,15.258504166666668,268.6699861111113,282.1599166666667,257.6459583333334,263.3530083333333,267.8640833333333,258.41545833333333,270.7149775641026,282.1599166666667,257.6459583333334,0.5163,承德市,1,0,0,7,7,0,6,7,0,0.3701959912087912,1.4094323999999998,0.0733212,0.816957276923077,1.4094323999999998,0.462186,0.19149147692307691,0.37629359999999995,0.0733212,0.3495557670329671,0.8230896000000001,0.0710532,0.5767960153846154,0.8230896000000001,0.2171448,0.2586596676923077,0.5172011999999999,0.0710532,3.737183516483516,5.4459,1.8534,4.850130769230769,5.4459,3.4198,3.292004615384616,4.74,1.8534,0.0029670329670329672,0.0,0.004153846153846154,0.1,0.0,0.1,0.0,0.0,0.0,2.0794415416798357,2.0794415416798357,0.0,0.6931471805599453,0.0,0.0,1.9459101490553132,2.0794415416798357,0.0
